"","Var1","Freq"
"288","광주광역시 광산구 월곡중앙로",54
"289","광주광역시 광산구 월곡중앙로10번길",5
"290","광주광역시 광산구 월곡중앙로13번길",8
"291","광주광역시 광산구 월곡중앙로14번길",1
"292","광주광역시 광산구 월곡중앙로1번길",13
"293","광주광역시 광산구 월곡중앙로25번길",11
"294","광주광역시 광산구 월곡중앙로26번길",1
"295","광주광역시 광산구 월곡중앙로2번길",3
"296","광주광역시 광산구 월곡중앙로33번길",11
"297","광주광역시 광산구 월곡중앙로41번길",3
"298","광주광역시 광산구 월곡중앙로47번길",3
"299","광주광역시 광산구 월곡중앙로48번길",1
"300","광주광역시 광산구 월곡중앙로53번길",12
"301","광주광역시 광산구 월곡중앙로54번길",7
"302","광주광역시 광산구 월봉반월길",1
"303","광주광역시 광산구 월전로",6
"304","광주광역시 광산구 임곡내기길",1
"305","광주광역시 광산구 임곡두정길",1
"306","광주광역시 광산구 임곡로",15
"307","광주광역시 광산구 임곡연계길",1
"308","광주광역시 광산구 임방울대로",184
"309","광주광역시 광산구 임방울대로165번길",8
"310","광주광역시 광산구 임방울대로215번길",13
"311","광주광역시 광산구 임방울대로216번길",9
"312","광주광역시 광산구 임방울대로332번길",33
"313","광주광역시 광산구 임방울대로358번길",6
"314","광주광역시 광산구 임방울대로800번길",64
"315","광주광역시 광산구 임방울대로801번길",26
"316","광주광역시 광산구 임방울대로825번길",48
"317","광주광역시 광산구 임방울대로826번길",113
"318","광주광역시 광산구 장덕로",12
"319","광주광역시 광산구 장덕로137번길",4
"320","광주광역시 광산구 장덕로39번길",11
"321","광주광역시 광산구 장덕로40번길",13
"322","광주광역시 광산구 장덕로49번길",12
"323","광주광역시 광산구 장덕로50번길",4
"324","광주광역시 광산구 장덕로6번길",1
"325","광주광역시 광산구 장덕로95번길",9
"326","광주광역시 광산구 장록안길",1
"327","광주광역시 광산구 장수길",1
"328","광주광역시 광산구 장신로",147
"329","광주광역시 광산구 장신로147번길",23
"330","광주광역시 광산구 장신로148번길",12
"331","광주광역시 광산구 장신로19번길",15
"332","광주광역시 광산구 장신로19번안길",36
"333","광주광역시 광산구 장신로20번길",24
"334","광주광역시 광산구 장신로20번안길",38
"335","광주광역시 광산구 장신로265번길",11
"336","광주광역시 광산구 장신로266번길",7
"337","광주광역시 광산구 장신로50번길",21
"338","광주광역시 광산구 장신로64번길",16
"339","광주광역시 광산구 장신로82번길",4
"340","광주광역시 광산구 지로길",1
"341","광주광역시 광산구 지로길6번길",1
"342","광주광역시 광산구 진곡산단2번로",9
"343","광주광역시 광산구 진곡산단3번로",2
"344","광주광역시 광산구 진곡산단5번로",1
"345","광주광역시 광산구 진곡산단중앙로",1
"346","광주광역시 광산구 첨단강변로",7
"347","광주광역시 광산구 첨단강변로87번길",3
"348","광주광역시 광산구 첨단강변로99번길",34
"349","광주광역시 광산구 첨단과기로",3
"350","광주광역시 광산구 첨단내촌로",54
"351","광주광역시 광산구 첨단내촌로11번길",6
"352","광주광역시 광산구 첨단내촌로35번길",6
"353","광주광역시 광산구 첨단내촌로36번길",5
"354","광주광역시 광산구 첨단내촌로57번길",5
"355","광주광역시 광산구 첨단내촌로70번길",59
"356","광주광역시 광산구 첨단봉산안길",4
"357","광주광역시 광산구 첨단월봉로",7
"358","광주광역시 광산구 첨단중앙로",51
"359","광주광역시 광산구 첨단중앙로106번길",63
"360","광주광역시 광산구 첨단중앙로116번길",15
"361","광주광역시 광산구 첨단중앙로124번길",22
"362","광주광역시 광산구 첨단중앙로152번길",131
"363","광주광역시 광산구 첨단중앙로170번길",52
"364","광주광역시 광산구 첨단중앙로181번길",27
"365","광주광역시 광산구 첨단중앙로182번길",44
"366","광주광역시 광산구 첨단중앙로67번길",21
"367","광주광역시 광산구 첨단중앙로68번길",18
"368","광주광역시 광산구 체암로",1
"369","광주광역시 광산구 칠성하길",1
"370","광주광역시 광산구 침산안길",1
"371","광주광역시 광산구 평동금곡길",3
"372","광주광역시 광산구 평동로",43
"373","광주광역시 광산구 평동로1100번길",1
"374","광주광역시 광산구 평동로1115번길",2
"375","광주광역시 광산구 평동로1119번길",1
"376","광주광역시 광산구 평동로735번길",1
"377","광주광역시 광산구 평동로800번길",19
"378","광주광역시 광산구 평동로800번안길",1
"379","광주광역시 광산구 평동로803번길",3
"380","광주광역시 광산구 평동로803번안길",1
"381","광주광역시 광산구 평동로913번길",1
"382","광주광역시 광산구 평동산단1번로",3
"383","광주광역시 광산구 평동산단3번로",4
"384","광주광역시 광산구 평동산단로",10
"385","광주광역시 광산구 평동산단외로",1
"386","광주광역시 광산구 평동월곡길",1
